School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in the International Baccalaureate (IB) Diploma,Enrolment(s) in Northern Hemisphere Timetable (NHT) delivery at Units 3 and 4 level ​,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over
Balmoral K-12 Comm College,*,BALMORAL,7,5,,,,4,8,67,100,-,-,100,-,I/D,I/D
Catholic Regional College,*,ST ALBANS,2,5,,,,< 4,5,I/D,I/D,-,-,84,-,I/D,I/D
Chaffey Secondary College,*,MILDURA,1,6,,,,< 4,10,I/D,I/D,-,-,83,-,I/D,I/D
Chairo Christian School,*,LEONGATHA,4,3,,,,10,10,-,-,-,-,86,-,I/D,I/D
Derrinallum P12 College,*,DERRINALLUM,8,3,Y,,,6,5,-,100,< 4,-,95,-,I/D,I/D
Indie School Wodonga,,WODONGA,24,40,Y,,,202,1442,2,80,108,-,36,-,I/D,I/D
Lavers Hill K-12 College,*,LAVERS HILL,4,7,Y,,,4,13,-,-,-,-,83,-,I/D,I/D
Oakwood School,,CAULFIELD NORTH,20,35,Y,,,23,75,-,-,-,-,47,-,I/D,I/D
Pyramid Hill College,*,PYRAMID HILL,3,8,,,,< 4,8,I/D,I/D,-,-,79,-,I/D,I/D
South West Institute of TAFE,,WARRNAMBOOL,10,13,Y,,,23,39,-,89,16,-,67,-,I/D,I/D
Village High School,*,WONTHAGGI,17,6,,,,10,12,25,100,6,-,100,-,I/D,I/D
Werrimull P-12 College,*,WERRIMULL,1,5,,,,< 4,6,I/D,I/D,-,-,70,-,I/D,I/D
Adass Israel School,,ELSTERNWICK,8,3,,,,36,49,-,80,12,-,73,-,-,-
Adass Israel School,*,EAST ST KILDA,2,2,Y,,,19,39,-,-,-,-,39,-,-,-
Advance College of Education,*,ROSEBUD WEST,11,16,Y,,,15,29,-,77,10,-,81,-,-,-
Armstrong Creek School,*,ARMSTRONG CREEK,1,1,Y,,,6,6,-,-,-,-,-,-,-,-
Bendigo TAFE,,BENDIGO,7,13,Y,,,22,70,-,50,8,-,74,-,-,-
Bindjiroo Yaluk Community School,*,RICHMOND,12,6,,,,12,15,-,50,< 4,-,21,-,-,-
Box Hill Institute,,BOX HILL,18,20,Y,,,101,101,2,95,52,-,82,-,-,-
Catholic Regional College,*,CAROLINE SPRINGS,4,10,,,,17,50,-,-,-,-,98,-,-,-
Catholic Regional College,*,KEILOR NORTH,4,10,,,,12,27,-,-,-,-,85,-,-,-
Charles La Trobe P-12 College,,PRESTON,9,19,Y,,,42,88,18,68,15,-,47,-,-,-
Cire Community School,,LILYDALE,22,32,Y,,,155,160,2,16,21,-,61,-,-,-
Community College Gippsland,,WARRAGUL,15,23,Y,,,66,144,-,51,17,-,71,-,-,-
Croydon Community School,*,CROYDON,11,15,Y,,,18,28,9,82,9,-,87,-,-,-
Divrei Emineh,*,ORMOND,7,2,,,,16,16,-,100,9,-,60,-,-,-
Djerriwarrh Community College,*,MELTON,5,12,Y,,,12,32,9,91,8,-,70,-,-,-
Eaglehawk Secondary College,*,EAGLEHAWK,1,2,,,,15,28,-,-,-,-,69,-,-,-
Federation University Australia,,BALLARAT,11,16,Y,,,22,29,-,88,13,-,68,-,-,-
Foundation College,,NARRE WARREN,10,14,Y,,,23,46,-,100,11,-,49,-,-,-
Foundation College,*,FRANKSTON,5,10,Y,,,4,24,100,100,< 4,-,45,-,-,-
Foundation Learning Centre,*,NARRE WARREN,4,2,,,,6,14,-,50,< 4,-,22,-,-,-
Goulburn Ovens Inst of TAFE,*,SHEPPARTON,7,5,Y,,,13,15,-,69,< 4,-,77,-,-,-
Grace Christian College Wodonga,*,LENEVA,11,8,Y,Y,,11,15,27,100,5,-,91,-,-,-
Hester Hornbrook Academy,,SOUTH MELBOURNE,9,23,Y,,,44,244,14,30,11,-,34,-,-,-
Holmesglen Institute,,MOORABBIN,14,28,Y,,,58,154,5,80,32,-,77,-,-,-
Ignatius Learning Centre,,RICHMOND,-,3,Y,,,-,13,-,-,-,-,-,-,-,-
Irymple Secondary College,*,IRYMPLE,1,10,,,,7,33,-,-,-,-,92,-,-,-
Wyndham Comm & Educ Centre,*,WERRIBEE,7,5,Y,,,10,31,-,88,7,-,89,-,-,-
Kensington Comm High School,,KENSINGTON,11,10,Y,,,31,45,-,82,5,-,13,-,-,-
Melbourne Polytechnic,*,PRESTON,7,8,,,,10,14,29,86,6,-,87,-,-,-
Merbein P-10 College,*,MERBEIN,2,13,,,,6,36,-,-,-,-,77,-,-,-
Mountain District Comm College,,BORONIA,7,11,,,,29,35,4,89,21,-,71,-,-,-
Parkville College,*,PARKVILLE,5,16,Y,,,6,107,-,100,-,-,65,-,-,-
Peter Lalor Secondary College,,LALOR,17,24,,,,36,94,23,86,19,-,52,-,-,-
Plenty River College,*,SOUTH MORANG,4,1,Y,,,18,29,-,100,6,-,28,-,-,-
Preston Reservoir ACE,,RESERVOIR,4,2,Y,,,54,90,4,80,20,-,63,-,-,-
Preshil The Margaret Lyttle MS,*,KEW,6,3,,Y,,5,5,74,100,< 4,-,89,-,-,-
River Nile School,,NORTH MELBOURNE,8,7,Y,,,39,90,40,90,26,-,83,-,-,-
Rushworth P-12 College,*,RUSHWORTH,10,13,,,,12,30,-,40,< 4,-,52,-,-,-
SEDA College,,CAMBERWELL,10,7,,,,721,719,12,99,316,-,99,-,-,-
Shepparton ACE Sec College,*,SHEPPARTON,7,11,,,,11,42,-,89,6,-,88,-,-,-
Sunraysia Institute of TAFE,*,MILDURA,10,13,Y,,,12,27,-,50,< 4,-,68,-,-,-
Swinburne Uni of Tech - TAFE,,CROYDON,10,17,,,,27,42,9,45,5,-,65,-,-,-
The Bendigo Kangan Institute,,BROADMEADOWS,7,16,Y,,,63,149,7,65,37,-,60,-,-,-
The David Scott School,,FRANKSTON,8,14,Y,,,50,84,4,67,18,-,65,-,-,-
Victoria University Polytechnic,*,FOOTSCRAY,8,1,,,,6,4,-,100,< 4,-,24,-,-,-
Yarra Hills Sec Coll Mt Evelyn,*,MOUNT EVELYN,14,20,,,,14,27,-,89,8,-,67,-,-,-
Youth2Industry College,,SOUTH MELBOURNE,10,18,Y,,,26,63,26,89,17,-,65,-,-,-
Ballarat Clarendon College,,BALLARAT,37,13,,,Y,255,103,93,100,-,8,100,-,37,34.7
Huntingtower School,,MOUNT WAVERLEY,34,3,,,,182,34,99,100,-,21,100,-,37,31.7
Mac.Robertson Girls' High Schl,,MELBOURNE,49,8,,Y,,566,11,100,100,-,101,95,100,37,31.1
Mount Scopus Memorial College,,BURWOOD,37,14,,,,248,182,98,100,-,6,96,100,37,30.8
Ruyton Girls' School,,KEW,44,10,,,,154,37,100,100,-,27,100,I/D,37,30.2
Yeshivah College,,ST KILDA EAST,13,1,,,,56,52,95,100,-,-,70,-,37,25.3
Bialik College,,HAWTHORN,37,17,,,,171,98,99,100,-,10,96,100,36,29.7
Camberwell Anglican Girls GS,,CANTERBURY,41,4,,,,185,13,100,100,-,28,100,I/D,36,25.2
Fintona Girls School,,BALWYN,31,5,,,,99,5,96,100,-,24,68,-,36,26.4
Haileybury College,,KEYSBOROUGH,50,4,,,Y,576,18,94,100,-,47,93,I/D,36,26.3
Haileybury Girls College,,KEYSBOROUGH,52,7,,,Y,434,29,98,100,-,53,90,I/D,36,29.9
John Monash Science School,,CLAYTON,45,8,,,,442,12,99,100,-,46,100,100,36,22.5
Melbourne Girls Grammar,,SOUTH YARRA,41,4,,,,248,4,96,100,-,26,100,-,36,28.7
Melbourne Grammar School,,MELBOURNE,38,2,,,,393,< 4,98,100,-,51,I/D,-,36,28.0
Melbourne High School,,SOUTH YARRA,46,4,,,,705,4,96,100,-,80,67,100,36,28.5
Mentone Girls' Grammar School,,MENTONE,37,10,,,,134,36,99,100,-,16,96,I/D,36,22.2
