Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,Region,Area,LGA_ID,LGA_Name,LGA_TYPE,X,Y
Catholic,2,20,Parade College,Secondary,O,1436 Plenty Road,,BUNDOORA,VIC,3083,1436 Plenty Road,,BUNDOORA,VIC,3083,03 9468 3300,NORTH-WESTERN VICTORIA,North Eastern Melbourne,66,Banyule (C),Metro,145.066978,-37.690178
Catholic,2,25,Simonds Catholic College,Secondary,O,273 Victoria Street,,WEST MELBOURNE,VIC,3003,273 Victoria Street,,WEST MELBOURNE,VIC,3003,03 9321 9200,SOUTH-WESTERN VICTORIA,Western Melbourne,460,Melbourne (C),Metro,144.952883,-37.805971
Catholic,2,26,St Mary’s College Melbourne,Secondary,O,11 Westbury Street,,ST KILDA EAST,VIC,3183,PO Box 258,,ST KILDA,VIC,3182,03 9529 6611,SOUTH-EASTERN VICTORIA,Bayside Peninsula,590,Port Phillip (C),Metro,144.997001,-37.859365
Catholic,2,28,St Patrick's College Ballarat,Secondary,O,1431 Sturt Street,,BALLARAT,VIC,3350,Locked Bag 31,,BALLARAT,VIC,3350,03 5331 1688,SOUTH-WESTERN VICTORIA,Central Highlands,57,Ballarat (C),Non Metro,143.831558,-37.559711
Catholic,2,33,Emmanuel College Warrnambool,Secondary,O,140 Botanic Road,,WARRNAMBOOL,VIC,3280,PO Box 486,,WARRNAMBOOL,VIC,3280,03 5560 0888,SOUTH-WESTERN VICTORIA,Wimmera South West,673,Warrnambool (C),Non Metro,142.477358,-38.370986
Catholic,2,35,Loreto College,Secondary,O,1600 Sturt Street,,BALLARAT,VIC,3350,1600 Sturt Street,,BALLARAT,VIC,3350,03 5329 6100,SOUTH-WESTERN VICTORIA,Central Highlands,57,Ballarat (C),Non Metro,143.8234695,-37.55686069
Catholic,2,111,Assumption College,Secondary,O,Sutherland Street,,KILMORE,VIC,3764,PO Box 111,,KILMORE,VIC,3764,03 5783 5000,NORTH-EASTERN VICTORIA,Goulburn,485,Mitchell (S),Non Metro,144.947629,-37.301013
Catholic,2,130,Catherine McAuley College,Secondary,O,164 Barkly Street,,BENDIGO,VIC,3550,164 Barkly Street,,BENDIGO,VIC,3550,03 5445 9100,NORTH-WESTERN VICTORIA,Loddon Campaspe,262,Greater Bendigo (C),Non Metro,144.273362,-36.753444
Catholic,2,149,Sacre Coeur,Pri/Sec,O,172 Burke Road,,GLEN IRIS,VIC,3146,172 Burke Road,,GLEN IRIS,VIC,3146,03 9835 2700,SOUTH-EASTERN VICTORIA,Bayside Peninsula,635,Stonnington (C),Metro,145.051572,-37.861753
Catholic,2,161,St Mary's College,Pri/Sec,O,90 High Street,,SEYMOUR,VIC,3660,PO Box 269,,SEYMOUR,VIC,3660,03 5792 2611,NORTH-EASTERN VICTORIA,Goulburn,485,Mitchell (S),Non Metro,145.140924,-37.019895
