avg_study_score,school_count,total_schools,suburb,SA2_NAME16
,0,0,ABBEYARD,ABBEYARD
,0,0,ABBOTSFORD,ABBOTSFORD
31.0,1,1,ABERFELDIE,ABERFELDIE
,0,0,ABERFELDY,ABERFELDY
,0,0,ACHERON,ACHERON
,0,0,ADA,ADA
,0,0,ADAMS ESTATE,ADAMS ESTATE
,0,0,ADDINGTON,ADDINGTON
,0,0,ADELAIDE LEAD,ADELAIDE LEAD
,0,0,AGNES,AGNES
,0,0,AINTREE,AINTREE
,0,0,AIRE VALLEY,AIRE VALLEY
,0,0,AIREYS INLET,AIREYS INLET
,0,0,AIRLY,AIRLY
,0,0,AIRPORT WEST,AIRPORT WEST
,0,0,ALBACUTYA,ALBACUTYA
,0,0,ALBANVALE,ALBANVALE
31.0,1,1,ALBERT PARK,ALBERT PARK
,0,0,ALBERTON,ALBERTON
,0,0,ALBERTON WEST,ALBERTON WEST
,0,0,ALBION,ALBION
24.0,1,1,ALEXANDRA,ALEXANDRA
,0,0,ALFREDTON,ALFREDTON
,0,0,ALLAMBEE,ALLAMBEE
,0,0,ALLAMBEE RESERVE,ALLAMBEE RESERVE
,0,0,ALLAMBEE SOUTH,ALLAMBEE SOUTH
,0,0,ALLANS FLAT,ALLANS FLAT
,0,0,ALLANSFORD,ALLANSFORD
,0,0,ALLENDALE,ALLENDALE
,0,0,ALLESTREE,ALLESTREE
,0,0,ALMA,ALMA
,0,0,ALMONDS,ALMONDS
,0,0,ALMURTA,ALMURTA
30.0,1,1,ALPHINGTON,ALPHINGTON
31.0,1,1,ALTONA,ALTONA
,0,0,ALTONA MEADOWS,ALTONA MEADOWS
29.0,2,2,ALTONA NORTH,ALTONA NORTH
,0,0,ALVIE,ALVIE
,0,0,AMHERST,AMHERST
,0,0,AMOR,AMOR
,0,0,AMPHITHEATRE,AMPHITHEATRE
,0,0,ANAKIE,ANAKIE
,0,0,ANCONA,ANCONA
,0,0,ANDERSON,ANDERSON
,0,0,ANGLERS REST,ANGLERS REST
,0,0,ANGLESEA,ANGLESEA
,0,0,ANNUELLO,ANNUELLO
,0,0,ANTWERP,ANTWERP
30.0,1,1,APOLLO BAY,APOLLO BAY
,0,0,APPIN,APPIN
,0,0,APPIN SOUTH,APPIN SOUTH
,0,0,APSLEY,APSLEY
,0,0,ARAPILES,ARAPILES
26.0,1,1,ARARAT,ARARAT
,0,0,ARAWATA,ARAWATA
,0,0,ARBUCKLE,ARBUCKLE
,0,0,ARCADIA,ARCADIA
,0,0,ARCADIA SOUTH,ARCADIA SOUTH
,0,0,ARCHDALE,ARCHDALE
,0,0,ARCHDALE JUNCTION,ARCHDALE JUNCTION
,0,0,ARCHERTON,ARCHERTON
,0,0,ARCHIES CREEK,ARCHIES CREEK
,0,0,ARDEER,ARDEER
,0,0,ARDMONA,ARDMONA
,0,0,AREEGRA,AREEGRA
,0,0,ARGYLE,ARGYLE
34.0,1,1,ARMADALE,ARMADALE
,0,0,ARMSTRONG,ARMSTRONG
30.0,1,1,ARMSTRONG CREEK,ARMSTRONG CREEK
,0,0,ARNOLD,ARNOLD
,0,0,ARNOLD WEST,ARNOLD WEST
,0,0,ARTHURS CREEK,ARTHURS CREEK
,0,0,ARTHURS SEAT,ARTHURS SEAT
,0,0,ASCOT,ASCOT
,0,0,ASCOT,ASCOT
,0,0,ASCOT VALE,ASCOT VALE
,0,0,ASHBOURNE,ASHBOURNE
,0,0,ASHBURTON,ASHBURTON
31.0,1,1,ASHWOOD,ASHWOOD
,0,0,ASPENDALE,ASPENDALE
,0,0,ASPENDALE GARDENS,ASPENDALE GARDENS
,0,0,ATHLONE,ATHLONE
,0,0,ATTWOOD,ATTWOOD
,0,0,AUBREY,AUBREY
,0,0,AUCHMORE,AUCHMORE
,0,0,AVALON,AVALON
,0,0,AVENEL,AVENEL
,0,0,AVOCA,AVOCA
,0,0,AVON PLAINS,AVON PLAINS
,0,0,AVONDALE HEIGHTS,AVONDALE HEIGHTS
,0,0,AVONMORE,AVONMORE
,0,0,AVONSLEIGH,AVONSLEIGH
,0,0,AXE CREEK,AXE CREEK
,0,0,AXEDALE,AXEDALE
,0,0,AYRFORD,AYRFORD
32.0,1,1,BACCHUS MARSH,BACCHUS MARSH
,0,0,BADDAGINNIE,BADDAGINNIE
,0,0,BADGER CREEK,BADGER CREEK
,0,0,BAEL BAEL,BAEL BAEL
,0,0,BAGSHOT,BAGSHOT
,0,0,BAGSHOT NORTH,BAGSHOT NORTH
,0,0,BAHGALLAH,BAHGALLAH
,0,0,BAILIESTON,BAILIESTON
28.0,1,1,BAIRNSDALE,BAIRNSDALE
,0,0,BAKERY HILL,BAKERY HILL
,0,0,BALACLAVA,BALACLAVA
,0,0,BALD HILLS,BALD HILLS
,0,0,BALINTORE,BALINTORE
,0,0,BALLAN,BALLAN
,0,0,BALLANGEICH,BALLANGEICH
,0,0,BALLAPUR,BALLAPUR
,0,0,BALLARAT CENTRAL,BALLARAT CENTRAL
27.0,1,1,BALLARAT EAST,BALLARAT EAST
,0,0,BALLARAT NORTH,BALLARAT NORTH
,0,0,BALLENDELLA,BALLENDELLA
,0,0,BALLIANG,BALLIANG
,0,0,BALLIANG EAST,BALLIANG EAST
,0,0,BALLYROGAN,BALLYROGAN
,0,0,BALMATTUM,BALMATTUM
,0,0,BALMORAL,BALMORAL
,0,0,BALNARRING,BALNARRING
,0,0,BALNARRING BEACH,BALNARRING BEACH
,0,0,BALOOK,BALOOK
,0,0,BALWYN,BALWYN
32.0,1,1,BALWYN NORTH,BALWYN NORTH
,0,0,BAMAWM,BAMAWM
,0,0,BAMAWM EXTENSION,BAMAWM EXTENSION
,0,0,BAMBRA,BAMBRA
,0,0,BAMGANIE,BAMGANIE
,0,0,BANDIANA,BANDIANA
,0,0,BANGERANG,BANGERANG
30.0,1,1,BANGHOLME,BANGHOLME
,0,0,BANKSIA PENINSULA,BANKSIA PENINSULA
,0,0,BANNERTON,BANNERTON
23.0,1,1,BANNOCKBURN,BANNOCKBURN
,0,0,BANYAN,BANYAN
,0,0,BANYENA,BANYENA
,0,0,BARANDUDA,BARANDUDA
,0,0,BARFOLD,BARFOLD
,0,0,BARINGHUP,BARINGHUP
,0,0,BARINGHUP WEST,BARINGHUP WEST
,0,0,BARJARG,BARJARG
,0,0,BARKERS CREEK,BARKERS CREEK
,0,0,BARKLY,BARKLY
,0,0,BARKSTEAD,BARKSTEAD
,0,0,BARMAH,BARMAH
,0,0,BARNADOWN,BARNADOWN
,0,0,BARNAWARTHA,BARNAWARTHA
,0,0,BARNAWARTHA NORTH,BARNAWARTHA NORTH
,0,0,BAROMI,BAROMI
,0,0,BARONGAROOK,BARONGAROOK
,0,0,BARONGAROOK WEST,BARONGAROOK WEST
,0,0,BARRABOOL,BARRABOOL
,0,0,BARRAKEE,BARRAKEE
,0,0,BARRAMUNGA,BARRAMUNGA
,0,0,BARRAPORT,BARRAPORT
