suburb,avg_study_score,median_study_score,school_count,std_study_score,total_schools
ABERFELDIE,31.0,31.0,1,,1
ALPHINGTON,30.0,30.0,1,,1
ALTONA,31.0,31.0,1,,1
ALTONA NORTH,29.0,29.0,2,1.41,2
ARMADALE,34.0,34.0,1,,1
ARMSTRONG CREEK,30.0,30.0,1,,1
ALBERT PARK,31.0,31.0,1,,1
ALEXANDRA,24.0,24.0,1,,1
ALTONA,26.0,26.0,1,,1
APOLLO BAY,30.0,30.0,1,,1
ARARAT,26.0,26.0,1,,1
ARMSTRONG CREEK,28.0,28.0,1,,1
ASHWOOD,31.0,31.0,1,,1
BACCHUS MARSH,32.0,32.0,1,,1
BAIRNSDALE,28.0,28.0,1,,1
BALLARAT,34.0,34.0,2,4.24,2
BANGHOLME,30.0,30.0,1,,1
BEACONSFIELD,27.0,27.0,1,,1
BELGRAVE,31.0,31.0,1,,1
BELL POST HILL,29.0,29.0,1,,1
BENDIGO,29.5,29.5,2,2.12,2
BOX HILL,32.0,32.0,2,0.0,2
BRIGHTON,34.33,34.0,3,0.58,3
BRIGHTON EAST,34.0,34.0,1,,1
BROADMEADOWS,29.0,28.0,3,2.65,3
BROOKFIELD,26.0,26.0,1,,1
BULLEEN,31.0,31.0,1,,1
BUNDOORA,30.0,30.0,2,0.0,2
BURWOOD,36.5,36.5,2,0.71,2
BACCHUS MARSH,24.0,24.0,1,,1
BAIRNSDALE,26.0,26.0,1,,1
BALLARAT EAST,27.0,27.0,1,,1
BALWYN NORTH,32.0,32.0,1,,1
BANNOCKBURN,23.0,23.0,1,,1
BAYSWATER,26.0,26.0,1,,1
BEAUFORT,27.0,27.0,1,,1
BEAUMARIS,30.0,30.0,1,,1
BEECHWORTH,28.0,28.0,1,,1
BELMONT,29.0,29.0,1,,1
BENALLA,24.0,24.0,1,,1
BENTLEIGH EAST,30.0,30.0,1,,1
BERWICK,32.0,31.0,3,3.61,3
BIRCHIP,31.0,31.0,1,,1
BLACKBURN,31.0,31.0,1,,1
BOORT,30.0,30.0,1,,1
BORONIA,27.0,27.0,1,,1
BOX HILL,32.0,32.0,1,,1
BRAYBROOK,31.0,31.0,1,,1
BRIGHT,29.0,29.0,1,,1
